message;severity;node;stamp;location
"POSE: x: 1.056801; y: 2.652441; omega: -1.407673";"20";"tug_turtlebot4.simple_turtle";"1734544746.089581650";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.081032; y: 2.700918; omega: 4.865491";"20";"tug_turtlebot4.simple_turtle";"1734544746.052523353";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.059032; y: 2.638868; omega: -1.408088";"20";"tug_turtlebot4.simple_turtle";"1734544746.052219429";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.083139; y: 2.687258; omega: 4.865075";"20";"tug_turtlebot4.simple_turtle";"1734544746.017597357";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.061257; y: 2.625295; omega: -1.408502";"20";"tug_turtlebot4.simple_turtle";"1734544746.017426706";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.085240; y: 2.673598; omega: 4.864658";"20";"tug_turtlebot4.simple_turtle";"1734544745.977111796";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.063476; y: 2.611720; omega: -1.408916";"20";"tug_turtlebot4.simple_turtle";"1734544745.976894890";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.087335; y: 2.659936; omega: 4.864242";"20";"tug_turtlebot4.simple_turtle";"1734544745.941018916";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.065690; y: 2.598144; omega: -1.409330";"20";"tug_turtlebot4.simple_turtle";"1734544745.940892642";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.089425; y: 2.646274; omega: 4.863826";"20";"tug_turtlebot4.simple_turtle";"1734544745.900195891";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.067898; y: 2.584568; omega: -1.409744";"20";"tug_turtlebot4.simple_turtle";"1734544745.900062937";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.091516; y: 2.632568; omega: 4.863784";"20";"tug_turtlebot4.simple_turtle";"1734544745.862243461";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.070101; y: 2.570991; omega: -1.410158";"20";"tug_turtlebot4.simple_turtle";"1734544745.862002764";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.093594; y: 2.618904; omega: 4.863368";"20";"tug_turtlebot4.simple_turtle";"1734544745.827994907";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.072298; y: 2.557412; omega: -1.410573";"20";"tug_turtlebot4.simple_turtle";"1734544745.827846291";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.095667; y: 2.605239; omega: 4.862951";"20";"tug_turtlebot4.simple_turtle";"1734544745.790945800";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.074489; y: 2.543833; omega: -1.410987";"20";"tug_turtlebot4.simple_turtle";"1734544745.790813865";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.097734; y: 2.591574; omega: 4.862535";"20";"tug_turtlebot4.simple_turtle";"1734544745.757672629";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.076675; y: 2.530253; omega: -1.411401";"20";"tug_turtlebot4.simple_turtle";"1734544745.757545147";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.099795; y: 2.577907; omega: 4.862119";"20";"tug_turtlebot4.simple_turtle";"1734544745.724406731";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.078855; y: 2.516672; omega: -1.411815";"20";"tug_turtlebot4.simple_turtle";"1734544745.724288627";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.101858; y: 2.564196; omega: 4.861326";"20";"tug_turtlebot4.simple_turtle";"1734544745.688802684";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.081029; y: 2.503090; omega: -1.412229";"20";"tug_turtlebot4.simple_turtle";"1734544745.688629007";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.103908; y: 2.550528; omega: 4.860910";"20";"tug_turtlebot4.simple_turtle";"1734544745.652391866";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.083198; y: 2.489507; omega: -1.412644";"20";"tug_turtlebot4.simple_turtle";"1734544745.651449201";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.105952; y: 2.536859; omega: 4.860494";"20";"tug_turtlebot4.simple_turtle";"1734544745.614443328";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
"POSE: x: 1.085361; y: 2.475924; omega: -1.413058";"20";"tug_turtlebot4.simple_turtle";"1734544745.614196745";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:156"
"ENCODER: x: 1.107992; y: 2.523189; omega: 4.860077";"20";"tug_turtlebot4.simple_turtle";"1734544745.577446923";"/home/bobo/ros2_ws/src/mr2_public/tug_turtlebot4/src/SimpleTurtleNode.cpp:poseCallback:157"
