x_dis,y_diy,yaw,time
1.08974,0.045572,0.918476,23.682
1.0978,0.0564262,0.947957,23.712
1.10553,0.0675132,0.977437,23.742
1.11294,0.0788234,1.00692,23.772
1.12,0.0903468,1.0364,23.802
1.12673,0.102074,1.06588,23.832
1.1331,0.113993,1.09536,23.862
1.13913,0.126096,1.12484,23.892
1.14479,0.138371,1.15432,23.922
1.15009,0.150807,1.1838,23.952
1.15501,0.163395,1.21328,23.982
1.15957,0.176122,1.24277,24.012
1.16375,0.188977,1.27225,24.042
1.16755,0.201951,1.30173,24.075
1.17096,0.21503,1.33121,24.102
1.17399,0.228205,1.36069,24.132
1.17662,0.241463,1.39017,24.162
1.17887,0.254793,1.41965,24.192
1.18072,0.268183,1.44913,24.222
1.18218,0.281623,1.47861,24.252
1.18323,0.295099,1.50809,24.282
1.1839,0.3086,1.53757,24.312
1.18416,0.322116,1.56706,24.342
1.18402,0.335633,1.59654,24.372
1.18349,0.34914,1.62602,24.402
1.18256,0.362626,1.6555,24.432
1.18123,0.376078,1.68498,24.462
1.1795,0.389485,1.71446,24.492
1.17738,0.402836,1.74394,24.522
1.17487,0.416118,1.77342,24.552
1.17197,0.429321,1.8029,24.582
1.16868,0.442432,1.83238,24.612
1.165,0.455441,1.86186,24.642
1.16095,0.468335,1.89135,24.672
1.15651,0.481104,1.92083,24.702
1.1517,0.493738,1.95031,24.732
1.14652,0.506223,1.97979,24.762
1.14098,0.518551,2.00927,24.792
1.13507,0.53071,2.03875,24.822
1.12881,0.542689,2.06823,24.852
1.12219,0.554479,2.09771,24.882
1.11523,0.566069,2.12719,24.912
1.10794,0.577448,2.15667,24.942
1.10031,0.588607,2.18615,24.972
1.09235,0.599537,2.21564,25.002
1.08408,0.610228,2.24512,25.032
1.07549,0.620675,2.2739,25.062
1.0666,0.630927,2.2968,25.095
1.05748,0.641043,2.31277,25.122
1.04818,0.651082,2.32182,25.152
1.0388,0.661108,2.32393,25.182
1.02938,0.671184,2.31912,25.212
1.02001,0.681375,2.30738,25.242
